yr,mo,dy,date,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1951,4,21,21/04/1951,LA,0,2,0,31.72,-92.25,0,0,1,33
1951,4,21,21/04/1951,LA,0,1,0,32.33,-92.32,0,0,1,33
1951,4,21,21/04/1951,MS,1,0,0,32.07,-89.52,0,0,0.1,10
1951,4,21,21/04/1951,MS,3,16,2,31.68,-89.25,32.15,-89.12,33.5,10
1951,4,24,24/04/1951,OK,0,0,0,35.78,-99,0,0,0.1,10
1951,4,24,24/04/1951,OK,1,0,0,34.63,-99.6,0,0,2.5,10
1951,4,24,24/04/1951,OK,1,0,0,36.75,-97.4,0,0,0.1,10
1951,4,26,26/04/1951,KS,0,0,0,37.47,-101.52,37.73,-101.1,29.2,10
1951,4,26,26/04/1951,KS,0,0,0,37.07,-100.93,0,0,1,10
1951,4,26,26/04/1951,KS,1,0,0,37.17,-101.62,0,0,0.1,10
1951,4,26,26/04/1951,KS,1,0,0,37.08,-101.77,0,0,0.1,10
1951,4,26,26/04/1951,OK,1,0,0,36.82,-100.53,0,0,0.1,10
1951,4,27,27/04/1951,OK,1,2,0,36.33,-98.2,0,0,0.8,200
1951,4,28,28/04/1951,OH,2,5,0,41,-83.67,41.1,-83.4,15.2,10
1951,4,29,29/04/1951,NJ,1,2,0,40.9,-74.6,0,0,0.5,400
1951,4,30,30/04/1951,KS,0,0,0,37.1,-96.5,0,0,0.1,10
1951,4,30,30/04/1951,KS,3,0,0,37.63,-98.75,37.77,-98.58,12.8,440
1951,4,30,30/04/1951,NE,1,0,0,41.08,-98,0,0,0.3,50
1951,4,30,30/04/1951,OK,1,0,0,34.62,-98.08,0,0,0.1,10
1951,4,30,30/04/1951,OK,2,0,0,35.5,-97.58,0,0,1.5,200
1951,4,30,30/04/1951,OK,3,0,0,35.43,-97.58,35.5,-97.48,7.4,200
1951,5,2,02/05/1951,KS,1,0,0,39.03,-95.8,0,0,0.1,10
1951,5,2,02/05/1951,KS,1,0,0,39.4,-95.4,0,0,0.1,10
1951,5,3,03/05/1951,MI,2,0,0,42.7,-84.05,42.73,-84,2.3,150
1951,5,8,08/05/1951,KS,1,0,0,38.38,-101.55,0,0,0.1,10
1951,5,9,09/05/1951,KS,0,0,0,38.78,-95.55,0,0,0.1,10
1951,5,9,09/05/1951,KS,1,0,0,39.3,-95.5,39.33,-95.47,2.3,10
1951,5,9,09/05/1951,OK,1,0,0,34.45,-98.32,0,0,0.1,10
1951,5,9,09/05/1951,OK,2,1,0,34,-96.6,34.18,-96.47,14.8,100
1951,5,9,09/05/1951,TX,2,0,0,33.93,-98.68,33.93,-98.77,4.9,33
1951,5,11,11/05/1951,PA,2,1,0,40.12,-79.12,40.05,-78.98,8,10
1951,5,11,11/05/1951,VA,1,0,0,37.55,-76.73,0,0,0.1,10
1951,5,13,13/05/1951,KS,1,0,0,39.08,-99.5,0,0,0.1,10
1951,5,13,13/05/1951,NE,0,0,0,41.58,-99.93,0,0,0.1,10
1951,5,14,14/05/1951,KS,2,0,0,39.37,-101.37,0,0,0.1,10
1951,5,14,14/05/1951,KS,2,0,0,37,-101.9,0,0,0.1,10
1951,5,14,14/05/1951,KS,3,4,0,39.78,-101.33,0,0,0.1,10
1951,5,14,14/05/1951,OK,2,0,0,36.9,-101.9,0,0,0.1,10
1951,5,14,14/05/1951,OK,2,0,0,36.87,-101.9,0,0,0.1,10
1951,5,15,15/05/1951,TX,1,0,0,34.5,-102.3,0,0,0.1,10
1951,5,16,16/05/1951,OK,0,0,0,35.2,-99.87,0,0,0.1,10
1951,5,17,17/05/1951,CO,0,0,0,39.33,-104.62,0,0,0.1,10
1951,5,18,18/05/1951,OK,1,0,0,34.78,-98.28,0,0,0.1,10
1951,5,18,18/05/1951,OK,1,0,0,34.78,-98.27,0,0,0.1,10
1951,5,18,18/05/1951,OK,1,0,0,34.78,-98.23,0,0,0.1,10
1951,5,18,18/05/1951,TX,4,100,2,33.42,-98.75,0,0,2,200
1951,5,19,19/05/1951,OK,0,0,0,35.43,-99.63,0,0,0.1,220
1951,5,19,19/05/1951,OK,1,0,0,35.33,-99.87,0,0,0.1,10
1951,5,19,19/05/1951,OK,2,0,0,36,-98.95,0,0,2,67
1951,5,20,20/05/1951,CO,0,0,0,40.98,-102.27,0,0,0.1,10
1951,5,20,20/05/1951,CO,0,0,0,40.98,-102.27,41.02,-102.15,6.1,10
1951,5,20,20/05/1951,CO,1,0,0,40.98,-102.27,41.05,-102.08,10.3,10
1951,5,20,20/05/1951,KS,2,0,0,37.97,-101.25,0,0,1,10
1951,5,20,20/05/1951,KS,3,0,0,37.9,-101.2,38.02,-101.02,12.8,900
1951,5,20,20/05/1951,KS,3,0,0,39.78,-101.38,0,0,0.1,10
1951,5,21,21/05/1951,KS,1,0,0,37.53,-101.75,0,0,0.1,10
1951,5,21,21/05/1951,KS,2,0,0,39.03,-96.97,0,0,0.1,10
1951,5,23,23/05/1951,GA,1,0,0,31.83,-81.5,0,0,0.3,300
1951,5,23,23/05/1951,GA,2,0,0,31.3,-83.83,31.27,-83.68,9.2,50
1951,5,24,24/05/1951,TX,1,0,1,33.37,-99.9,0,0,0.5,20
1951,5,25,25/05/1951,KS,1,0,0,39.45,-97.5,0,0,0.1,10
1951,5,25,25/05/1951,KS,2,0,0,39.93,-97.43,0,0,0.1,10
1951,5,25,25/05/1951,KS,3,0,1,39.27,-97.18,39.32,-97.13,4.1,440
1951,5,25,25/05/1951,MO,1,0,0,40.4,-95.17,0,0,0.2,10
1951,5,26,26/05/1951,FL,1,0,0,30.18,-82.63,0,0,0.1,10
1951,5,26,26/05/1951,FL,1,0,3,29.85,-84.68,0,0,0.1,10
1951,5,30,30/05/1951,KS,0,0,0,39.28,-97.02,0,0,0.1,10
1951,5,30,30/05/1951,KS,0,0,0,39.47,-95.73,0,0,0.1,10
1951,5,30,30/05/1951,KS,0,0,0,39.4,-96.03,0,0,0.1,10
1951,5,30,30/05/1951,KS,0,0,0,39.25,-96.58,0,0,0.1,10
1951,5,30,30/05/1951,KS,0,0,0,39.4,-97.18,0,0,0.1,10
1951,5,30,30/05/1951,KS,1,0,0,38.83,-99.27,38.87,-99.32,3,10
1951,5,30,30/05/1951,KS,1,0,0,39.13,-97.05,39.22,-96.93,8.3,10
1951,5,30,30/05/1951,KS,1,0,0,39.35,-96.45,39.4,-96.32,7.7,10
1951,5,30,30/05/1951,NE,1,0,0,40.47,-101.55,0,0,2,33
1951,5,30,30/05/1951,NE,2,7,0,41.9,-103.5,41.73,-103.18,19.7,10
1951,5,31,31/05/1951,KS,2,0,0,39.37,-95.4,39.4,-95.35,3,440
1951,5,31,31/05/1951,TX,1,0,0,35.77,-101.38,0,0,0.5,17
1951,6,1,01/06/1951,IA,3,7,0,42.07,-92.92,0,0,1.5,880
1951,6,1,01/06/1951,KS,1,0,0,39.73,-97.98,39.78,-97.78,11,10
1951,6,1,01/06/1951,MI,1,1,0,42.75,-84.75,0,0,0.5,10
1951,6,5,05/06/1951,NM,0,0,0,33.1,-104.8,0,0,2,10
1951,6,5,05/06/1951,OK,2,0,0,36.53,-101.8,0,0,0.1,10
1951,6,6,06/06/1951,CO,2,1,0,38.73,-103.58,38.77,-103.5,4.7,217
1951,6,6,06/06/1951,KS,0,0,0,37.77,-98.57,0,0,0.1,10
1951,6,6,06/06/1951,KS,0,0,0,37.52,-98.82,0,0,0.1,10
1951,6,6,06/06/1951,KS,1,0,0,38.88,-99.92,38.93,-99.88,3,400
1951,6,6,06/06/1951,KS,1,0,0,37.63,-98.9,37.65,-98.73,9,10
1951,6,6,06/06/1951,KS,1,0,0,37.78,-98.87,0,0,0.1,10
